Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,None,0.5914127423822715,0.5554016620498615,0.33,-0.007,-0.416,0.149,0.38,0.036,0.585,1.074,-0.04299999999999998,0.071,0.682,0.571,0.518,0.463,0.608,0.522,0.615,0.599,0.682,0.571,0.647,0.585,0.591,0.555
0,age,None,0.5914127423822715,0.574792243767313,0.143,-0.205,0.5,0.225,0.353,0.195,0.647,1.425,0.3215,0.010000000000000009,0.682,0.669,0.518,0.54,0.608,0.611,0.615,0.601,0.682,0.669,0.647,0.633,0.591,0.575
0,race,None,0.5914127423822715,0.574792243767313,0.233,-0.026,-0.361,0.054,0.293,0.036,0.633,1.074,-0.06399999999999999,0.014,0.682,0.573,0.518,0.423,0.608,0.506,0.615,0.622,0.682,0.573,0.647,0.596,0.591,0.575
0,priors_count,None,0.5914127423822715,0.5761772853185596,0.204,-0.167,-0.269,0.1,0.242,0.127,0.679,1.305,-0.032500000000000015,-0.0335,0.682,0.563,0.518,0.408,0.608,0.493,0.615,0.626,0.682,0.563,0.647,0.593,0.591,0.576
0,c_charge_degree,None,0.5914127423822715,0.5595567867036011,0.357,0.058,-0.474,0.024,0.419,0.037,0.528,0.92,-0.058499999999999996,0.041,0.682,0.497,0.518,0.365,0.608,0.438,0.615,0.623,0.682,0.497,0.647,0.553,0.591,0.56
0,sex,['priors_count'],0.6024930747922438,0.5595567867036011,0.31,0.049,-0.451,0.079,0.383,0.027,0.586,0.946,-0.07050000000000001,0.064,0.697,0.528,0.512,0.402,0.614,0.471,0.623,0.615,0.697,0.528,0.658,0.568,0.602,0.56
0,age,['priors_count'],0.6024930747922438,0.5429362880886427,0.0,-0.249,0.6,0.337,0.235,0.269,0.765,1.808,0.3,0.04400000000000001,0.697,0.581,0.512,0.503,0.614,0.546,0.623,0.584,0.697,0.581,0.658,0.582,0.602,0.543
0,race,['priors_count'],0.6024930747922438,0.5692520775623269,0.22,0.023,-0.343,-0.045,0.278,0.035,0.649,0.936,-0.06150000000000001,-0.011,0.697,0.591,0.512,0.457,0.614,0.53,0.623,0.611,0.697,0.591,0.658,0.601,0.602,0.569
0,c_charge_degree,['priors_count'],0.6024930747922438,0.5554016620498615,0.408,-0.127,-0.437,0.281,0.435,0.177,0.519,1.5,-0.014500000000000013,0.07700000000000001,0.697,0.525,0.512,0.408,0.614,0.472,0.623,0.61,0.697,0.525,0.658,0.564,0.602,0.555
0,sex,['c_charge_degree'],0.6094182825484764,0.5263157894736842,0.327,-0.381,-0.554,0.263,0.431,0.329,0.548,1.98,-0.11350000000000002,-0.059,0.694,0.619,0.494,0.586,0.604,0.604,0.631,0.562,0.694,0.619,0.661,0.589,0.609,0.526
0,age,['c_charge_degree'],0.6094182825484764,0.5650969529085873,0.143,-0.104,0.5,0.214,0.353,0.131,0.647,1.25,0.3215,0.055,0.694,0.674,0.494,0.567,0.604,0.626,0.631,0.591,0.694,0.674,0.661,0.63,0.609,0.565
0,race,['c_charge_degree'],0.6094182825484764,0.5844875346260388,0.268,-0.121,-0.453,0.164,0.354,0.137,0.575,1.31,-0.0925,0.021500000000000005,0.694,0.606,0.494,0.442,0.604,0.532,0.631,0.625,0.694,0.606,0.661,0.615,0.609,0.584
0,priors_count,['c_charge_degree'],0.6094182825484764,0.5581717451523546,0.203,-0.217,-0.202,0.243,0.214,0.22,0.708,1.673,0.0005000000000000004,0.012999999999999998,0.694,0.515,0.494,0.39,0.604,0.458,0.631,0.616,0.694,0.515,0.661,0.561,0.609,0.558
0,sex,['race'],0.5886426592797784,0.5595567867036011,0.295,0.049,-0.421,0.079,0.36,0.027,0.588,0.946,-0.063,0.064,0.654,0.528,0.491,0.402,0.58,0.471,0.618,0.615,0.654,0.528,0.635,0.568,0.589,0.56
0,age,['race'],0.5886426592797784,0.5831024930747922,0.143,-0.125,0.5,0.188,0.353,0.129,0.647,1.247,0.3215,0.0315,0.654,0.689,0.491,0.546,0.58,0.625,0.618,0.605,0.654,0.689,0.635,0.644,0.589,0.583
0,priors_count,['race'],0.5886426592797784,0.5761772853185596,0.242,-0.013,-0.259,-0.119,0.259,0.053,0.648,0.911,-0.008500000000000008,-0.066,0.654,0.629,0.491,0.488,0.58,0.565,0.618,0.61,0.654,0.629,0.635,0.619,0.589,0.576
0,c_charge_degree,['race'],0.5886426592797784,0.5637119113573407,0.369,0.039,-0.497,0.08,0.435,0.006,0.5,0.984,-0.064,0.0595,0.654,0.422,0.491,0.264,0.58,0.35,0.618,0.66,0.654,0.422,0.635,0.515,0.589,0.564
0,sex,['age'],0.5858725761772853,0.5692520775623269,0.253,-0.113,-0.366,0.194,0.308,0.116,0.692,1.255,-0.056499999999999995,0.0405,0.806,0.609,0.681,0.479,0.749,0.55,0.59,0.607,0.806,0.609,0.681,0.608,0.586,0.569
0,race,['age'],0.5858725761772853,0.5526315789473685,0.303,0.021,-0.484,-0.002,0.386,0.015,0.614,0.966,-0.0905,0.009500000000000001,0.806,0.48,0.681,0.359,0.749,0.425,0.59,0.619,0.806,0.48,0.681,0.541,0.586,0.553
0,priors_count,['age'],0.5858725761772853,0.5512465373961218,0.339,-0.164,-0.502,0.002,0.417,0.086,0.583,1.174,-0.08149999999999999,-0.081,0.806,0.591,0.681,0.497,0.749,0.548,0.59,0.591,0.806,0.591,0.681,0.591,0.586,0.551
0,c_charge_degree,['age'],0.5858725761772853,0.53601108033241,0.31,0.088,-0.444,-0.003,0.376,0.06,0.624,0.879,-0.067,0.042499999999999996,0.806,0.492,0.681,0.411,0.749,0.456,0.59,0.593,0.806,0.492,0.681,0.538,0.586,0.536
1,sex,None,0.6301939058171745,0.5983379501385041,0.296,0.018,-0.535,-0.019,0.405,0.046,0.566,0.919,-0.11950000000000002,-0.0005000000000000004,0.709,0.618,0.477,0.428,0.611,0.537,0.669,0.662,0.709,0.618,0.688,0.639,0.63,0.598
1,age,None,0.6301939058171745,0.5692520775623269,0.125,-0.157,0.5,0.169,0.286,0.128,0.714,1.293,0.3125,0.006000000000000005,0.709,0.594,0.477,0.464,0.611,0.539,0.669,0.635,0.709,0.594,0.688,0.614,0.63,0.569
1,race,None,0.6301939058171745,0.5914127423822715,0.261,-0.024,-0.302,-0.005,0.3,0.008,0.631,0.985,-0.02049999999999999,-0.0145,0.709,0.601,0.477,0.422,0.611,0.525,0.669,0.66,0.709,0.601,0.688,0.629,0.63,0.591
